ダウンロードした時刻：2023/07/20 12:11:37

,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1900/6/1,17.9,8,1,22.2,8,1,14.3,8,1
1900/6/2,19.0,8,1,24.4,8,1,14.4,8,1
1900/6/3,19.7,8,1,25.0,8,1,15.1,8,1
1900/6/4,19.8,8,1,25.2,8,1,15.0,8,1
1900/6/5,19.6,8,1,24.4,8,1,14.6,8,1
1900/6/6,16.6,8,1,19.0,8,1,15.1,8,1
1900/6/7,17.4,8,1,22.5,8,1,14.0,8,1
1900/6/8,18.6,8,1,24.6,8,1,12.1,8,1
1900/6/9,19.3,8,1,24.4,8,1,12.8,8,1
1900/6/10,19.7,8,1,25.2,8,1,14.2,8,1
1900/6/11,18.6,8,1,20.4,8,1,16.3,8,1
1900/6/12,19.9,8,1,25.2,8,1,16.1,8,1
1900/6/13,21.4,8,1,28.1,8,1,15.8,8,1
1900/6/14,20.3,8,1,26.8,8,1,14.2,8,1
1900/6/15,16.5,8,1,22.3,8,1,12.4,8,1
1900/6/16,13.9,8,1,16.6,8,1,12.1,8,1
1900/6/17,14.4,8,1,18.2,8,1,12.0,8,1
1900/6/18,15.9,8,1,21.2,8,1,11.8,8,1
1900/6/19,16.9,8,1,23.8,8,1,10.3,8,1
1900/6/20,19.4,8,1,25.9,8,1,12.8,8,1
1900/6/21,20.9,8,1,26.9,8,1,15.7,8,1
1900/6/22,22.3,8,1,27.4,8,1,17.9,8,1
1900/6/23,21.8,8,1,24.4,8,1,20.0,8,1
1900/6/24,23.2,8,1,28.0,8,1,19.5,8,1
1900/6/25,19.9,8,1,23.1,8,1,18.5,8,1
1900/6/26,23.6,8,1,29.1,8,1,18.2,8,1
1900/6/27,21.8,8,1,26.8,8,1,17.5,8,1
1900/6/28,21.3,8,1,25.6,8,1,18.1,8,1
1900/6/29,20.1,8,1,23.2,8,1,17.6,8,1
1900/6/30,18.5,8,1,20.9,8,1,17.1,8,1
1900/7/1,19.3,8,1,21.9,8,1,17.5,8,1
1900/7/2,21.0,8,1,25.7,8,1,16.9,8,1
1900/7/3,22.5,8,1,27.4,8,1,18.3,8,1
1900/7/4,22.6,8,1,27.1,8,1,20.0,8,1
1900/7/5,21.8,8,1,24.8,8,1,20.2,8,1
1900/7/6,22.4,8,1,24.6,8,1,20.6,8,1
1900/7/7,23.6,8,1,27.8,8,1,21.0,8,1
1900/7/8,22.2,8,1,27.0,8,1,19.6,8,1
1900/7/9,23.0,8,1,27.3,8,1,19.1,8,1
1900/7/10,23.6,8,1,28.4,8,1,19.6,8,1
1900/7/11,23.4,8,1,26.7,8,1,21.1,8,1
1900/7/12,20.8,8,1,22.5,8,1,19.3,8,1
1900/7/13,24.2,8,1,29.7,8,1,20.0,8,1
1900/7/14,24.4,8,1,28.3,8,1,20.5,8,1
1900/7/15,24.3,8,1,28.6,8,1,21.6,8,1
1900/7/16,21.7,8,1,23.7,8,1,20.9,8,1
1900/7/17,19.3,8,1,21.3,8,1,16.6,8,1
1900/7/18,17.6,8,1,18.9,8,1,15.8,8,1
1900/7/19,19.7,8,1,22.5,8,1,17.1,8,1
1900/7/20,20.3,8,1,22.9,8,1,18.9,8,1
1900/7/21,24.6,8,1,31.0,8,1,18.1,8,1
1900/7/22,23.5,8,1,27.6,8,1,18.7,8,1
1900/7/23,24.7,8,1,28.6,8,1,21.5,8,1
1900/7/24,24.9,8,1,28.5,8,1,21.8,8,1
1900/7/25,25.6,8,1,30.0,8,1,23.3,8,1
1900/7/26,28.4,8,1,34.9,8,1,23.0,8,1
1900/7/27,27.5,8,1,31.9,8,1,24.9,8,1
1900/7/28,24.8,8,1,28.1,8,1,22.7,8,1
1900/7/29,22.4,8,1,24.8,8,1,19.6,8,1
1900/7/30,20.2,8,1,22.9,8,1,17.6,8,1
1900/7/31,21.0,8,1,27.1,8,1,15.6,8,1
1900/8/1,22.3,8,1,27.9,8,1,16.8,8,1
1900/8/2,24.2,8,1,29.1,8,1,19.4,8,1
1900/8/3,25.3,8,1,29.4,8,1,22.6,8,1
1900/8/4,25.5,8,1,29.9,8,1,21.6,8,1
1900/8/5,25.7,8,1,29.6,8,1,22.2,8,1
1900/8/6,26.0,8,1,30.1,8,1,22.3,8,1
1900/8/7,25.7,8,1,29.7,8,1,22.2,8,1
1900/8/8,26.7,8,1,31.2,8,1,22.9,8,1
1900/8/9,26.5,8,1,31.9,8,1,23.1,8,1
1900/8/10,26.0,8,1,31.1,8,1,22.8,8,1
1900/8/11,26.9,8,1,32.2,8,1,22.8,8,1
1900/8/12,25.8,8,1,31.7,8,1,23.0,8,1
1900/8/13,26.2,8,1,31.8,8,1,22.4,8,1
1900/8/14,26.6,8,1,32.8,8,1,22.9,8,1
1900/8/15,27.0,8,1,31.8,8,1,23.7,8,1
1900/8/16,27.3,8,1,32.0,8,1,24.1,8,1
1900/8/17,27.1,8,1,33.4,8,1,22.3,8,1
1900/8/18,25.7,8,1,27.3,8,1,24.0,8,1
1900/8/19,27.7,8,1,30.4,8,1,25.9,8,1
1900/8/20,27.2,8,1,30.2,8,1,25.5,8,1
1900/8/21,27.2,8,1,31.2,8,1,24.2,8,1
1900/8/22,26.9,8,1,31.8,8,1,22.2,8,1
1900/8/23,27.3,8,1,31.1,8,1,23.8,8,1
1900/8/24,27.1,8,1,30.2,8,1,25.5,8,1
1900/8/25,27.5,8,1,31.2,8,1,25.0,8,1
1900/8/26,28.1,8,1,32.9,8,1,24.6,8,1
1900/8/27,29.0,8,1,35.1,8,1,24.4,8,1
