ダウンロードした時刻：2023/07/20 12:12:46

,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1930/9/6,22.0,8,1,26.6,8,1,18.7,8,1
1930/9/7,20.7,8,1,27.1,8,1,16.0,8,1
1930/9/8,22.0,8,1,29.7,8,1,14.8,8,1
1930/9/9,22.5,8,1,27.4,8,1,18.0,8,1
1930/9/10,22.5,8,1,28.4,8,1,16.7,8,1
1930/9/11,24.0,8,1,29.0,8,1,17.8,8,1
1930/9/12,22.9,8,1,28.4,8,1,19.4,8,1
1930/9/13,22.1,8,1,27.2,8,1,18.4,8,1
1930/9/14,20.1,8,1,24.3,8,1,16.3,8,1
1930/9/15,20.3,8,1,25.3,8,1,16.2,8,1
1930/9/16,21.6,8,1,24.7,8,1,17.8,8,1
1930/9/17,21.5,8,1,24.9,8,1,19.9,8,1
1930/9/18,21.6,8,1,23.9,8,1,20.0,8,1
1930/9/19,16.9,8,1,20.1,8,1,14.3,8,1
1930/9/20,19.1,8,1,25.7,8,1,12.8,8,1
1930/9/21,18.9,8,1,24.2,8,1,14.0,8,1
1930/9/22,17.9,8,1,19.6,8,1,16.5,8,1
1930/9/23,22.5,8,1,27.7,8,1,17.9,8,1
1930/9/24,20.2,8,1,22.5,8,1,17.0,8,1
1930/9/25,20.9,8,1,25.9,8,1,15.3,8,1
1930/9/26,17.2,8,1,19.9,8,1,15.7,8,1
1930/9/27,17.9,8,1,22.2,8,1,14.8,8,1
1930/9/28,20.5,8,1,24.7,8,1,15.3,8,1
1930/9/29,19.9,8,1,26.5,8,1,14.5,8,1
1930/9/30,19.1,8,1,25.1,8,1,13.5,8,1
1931/6/1,20.0,8,1,24.0,8,1,16.6,8,1
1931/6/2,20.3,8,1,24.4,8,1,16.2,8,1
1931/6/3,19.5,8,1,24.4,8,1,15.0,8,1
1931/6/4,19.8,8,1,23.5,8,1,16.0,8,1
1931/6/5,20.5,8,1,24.7,8,1,15.5,8,1
1931/6/6,21.7,8,1,27.4,8,1,16.4,8,1
1931/6/7,21.6,8,1,25.5,8,1,17.7,8,1
1931/6/8,18.0,8,1,20.8,8,1,16.0,8,1
1931/6/9,18.6,8,1,23.2,8,1,14.8,8,1
1931/6/10,18.6,8,1,24.3,8,1,13.4,8,1
