ダウンロードした時刻：2023/07/20 12:37:57

,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2020/6/1,19.6,8,1,21.2,8,1,18.5,8,1
2020/6/2,22.3,8,1,26.6,8,1,18.9,8,1
2020/6/3,24.0,8,1,28.5,8,1,20.9,8,1
2020/6/4,23.5,8,1,27.6,8,1,20.6,8,1
2020/6/5,24.8,8,1,29.9,8,1,20.0,8,1
2020/6/6,24.2,8,1,28.4,8,1,18.8,8,1
2020/6/7,22.0,8,1,27.2,8,1,17.4,8,1
2020/6/8,23.2,8,1,28.3,8,1,19.7,8,1
2020/6/9,25.5,8,1,31.0,8,1,20.4,8,1
2020/6/10,26.2,8,1,31.4,8,1,21.8,8,1
2020/6/11,25.1,8,1,30.5,8,1,22.7,8,1
2020/6/12,26.2,8,1,31.6,8,1,22.9,8,1
2020/6/13,21.3,8,1,24.3,8,1,19.1,8,1
2020/6/14,21.7,8,1,24.0,8,1,19.9,8,1
2020/6/15,25.9,8,1,32.6,8,1,21.0,8,1
2020/6/16,25.5,8,1,30.5,8,1,21.8,8,1
2020/6/17,23.6,8,1,28.8,8,1,19.3,8,1
2020/6/18,22.1,8,1,25.5,8,1,19.6,8,1
2020/6/19,18.7,8,1,19.8,8,1,18.0,8,1
2020/6/20,22.9,8,1,28.7,8,1,17.1,8,1
2020/6/21,21.9,8,1,26.5,8,1,17.9,8,1
2020/6/22,19.2,8,1,21.0,8,1,17.6,8,1
2020/6/23,22.3,8,1,27.2,8,1,18.0,8,1
2020/6/24,22.5,8,1,26.8,8,1,19.3,8,1
2020/6/25,20.2,8,1,23.3,8,1,17.9,8,1
2020/6/26,24.7,8,1,30.9,8,1,19.7,8,1
2020/6/27,25.5,8,1,29.3,8,1,22.2,8,1
2020/6/28,22.2,8,1,24.9,8,1,20.5,8,1
2020/6/29,24.9,8,1,29.8,8,1,20.1,8,1
2020/6/30,24.6,8,1,27.7,8,1,22.2,8,1
2020/7/1,25.1,8,1,26.7,8,1,22.7,8,1
2020/7/2,25.9,8,1,30.8,8,1,21.7,8,1
2020/7/3,23.8,8,1,28.7,8,1,20.3,8,1
2020/7/4,23.8,8,1,27.7,8,1,20.0,8,1
2020/7/5,24.9,8,1,28.1,8,1,23.2,8,1
2020/7/6,24.8,8,1,26.9,8,1,22.8,8,1
2020/7/7,27.2,8,1,29.3,8,1,25.1,8,1
2020/7/8,26.0,8,1,28.5,8,1,23.6,8,1
2020/7/9,23.7,8,1,26.1,8,1,22.3,8,1
2020/7/10,25.3,8,1,28.1,8,1,22.7,8,1
2020/7/11,27.5,8,1,31.2,8,1,24.8,8,1
2020/7/12,26.0,8,1,32.5,8,1,19.9,8,1
2020/7/13,21.0,8,1,25.2,8,1,18.7,8,1
2020/7/14,22.3,8,1,23.7,8,1,20.6,8,1
2020/7/15,20.4,8,1,22.0,8,1,17.7,8,1
2020/7/16,20.7,8,1,24.6,8,1,17.4,8,1
2020/7/17,19.3,8,1,20.6,8,1,18.1,8,1
2020/7/18,20.4,8,1,22.0,8,1,19.2,8,1
2020/7/19,24.3,8,1,29.3,8,1,21.4,8,1
2020/7/20,26.9,8,1,31.9,8,1,23.1,8,1
2020/7/21,25.5,8,1,29.0,8,1,22.5,8,1
2020/7/22,26.6,8,1,29.9,8,1,24.9,8,1
2020/7/23,23.2,8,1,26.0,8,1,22.1,8,1
2020/7/24,24.5,8,1,27.2,8,1,21.6,8,1
2020/7/25,25.1,8,1,27.4,8,1,23.7,8,1
2020/7/26,25.6,8,1,31.2,8,1,23.5,8,1
2020/7/27,26.3,8,1,30.7,8,1,23.9,8,1
2020/7/28,26.7,8,1,31.0,8,1,23.9,8,1
2020/7/29,22.9,8,1,25.6,8,1,21.3,8,1
2020/7/30,23.2,8,1,26.5,8,1,20.4,8,1
2020/7/31,24.8,8,1,29.6,8,1,22.4,8,1
2020/8/1,26.1,8,1,31.8,8,1,21.8,8,1
2020/8/2,26.3,8,1,31.5,8,1,22.6,8,1
2020/8/3,27.2,8,1,32.3,8,1,22.3,8,1
2020/8/4,28.3,8,1,33.1,8,1,24.5,8,1
2020/8/5,29.1,8,1,34.2,8,1,25.7,8,1
2020/8/6,28.5,8,1,33.1,8,1,25.5,8,1
2020/8/7,29.5,8,1,35.4,8,1,26.0,8,1
2020/8/8,28.1,8,1,32.3,8,1,25.1,8,1
2020/8/9,28.7,8,1,34.7,8,1,23.4,8,1
2020/8/10,30.5,8,1,35.2,8,1,26.9,8,1
2020/8/11,31.7,8,1,37.3,8,1,27.0,8,1
2020/8/12,30.0,8,1,35.8,8,1,27.3,8,1
2020/8/13,29.4,8,1,36.1,8,1,25.4,8,1
2020/8/14,29.4,8,1,34.2,8,1,24.9,8,1
2020/8/15,31.0,8,1,36.1,8,1,26.9,8,1
2020/8/16,31.2,8,1,35.4,8,1,28.0,8,1
2020/8/17,30.8,8,1,36.5,8,1,27.2,8,1
2020/8/18,30.3,8,1,34.3,8,1,27.8,8,1
2020/8/19,29.0,8,1,34.2,8,1,25.6,8,1
2020/8/20,29.7,8,1,34.8,8,1,25.8,8,1
2020/8/21,30.1,8,1,36.0,8,1,26.0,8,1
2020/8/22,29.3,8,1,35.2,8,1,24.0,8,1
2020/8/23,25.6,8,1,29.4,8,1,23.2,8,1
2020/8/24,27.2,8,1,32.3,8,1,23.0,8,1
2020/8/25,27.8,8,1,32.2,8,1,24.8,8,1
2020/8/26,28.8,8,1,34.0,8,1,24.3,8,1
2020/8/27,29.3,8,1,33.6,8,1,26.3,8,1
