ダウンロードした時刻：2023/07/20 12:24:48

,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1960/6/1,16.2,8,1,19.5,8,1,13.5,8,1
1960/6/2,17.0,8,1,20.5,8,1,12.9,8,1
1960/6/3,19.6,8,1,24.2,8,1,13.9,8,1
1960/6/4,20.1,8,1,21.6,8,1,19.4,8,1
1960/6/5,19.1,8,1,20.5,8,1,18.5,8,1
1960/6/6,21.2,8,1,26.5,8,1,17.3,8,1
1960/6/7,21.9,8,1,26.9,8,1,15.9,8,1
1960/6/8,18.6,8,1,20.3,8,1,17.5,8,1
1960/6/9,19.8,8,1,23.9,8,1,15.7,8,1
1960/6/10,22.0,8,1,26.9,8,1,17.1,8,1
1960/6/11,19.0,8,1,22.2,8,1,16.6,8,1
1960/6/12,17.0,8,1,22.2,8,1,14.5,8,1
1960/6/13,18.2,8,1,23.3,8,1,13.3,8,1
1960/6/14,20.5,8,1,24.0,8,1,15.7,8,1
1960/6/15,21.8,8,1,25.5,8,1,18.8,8,1
1960/6/16,18.1,8,1,20.0,8,1,18.3,8,1
1960/6/17,21.4,8,1,25.9,8,1,17.0,8,1
1960/6/18,23.3,8,1,27.0,8,1,19.2,8,1
1960/6/19,22.6,8,1,26.9,8,1,19.5,8,1
1960/6/20,21.6,8,1,25.6,8,1,18.3,8,1
1960/6/21,20.9,8,1,25.0,8,1,18.3,8,1
1960/6/22,24.5,8,1,27.0,8,1,18.7,8,1
1960/6/23,24.5,8,1,29.1,8,1,22.1,8,1
1960/6/24,23.6,8,1,26.9,8,1,20.6,8,1
1960/6/25,24.8,8,1,28.2,8,1,22.9,8,1
1960/6/26,23.1,8,1,26.7,8,1,20.5,8,1
1960/6/27,25.0,8,1,29.4,8,1,20.8,8,1
1960/6/28,26.2,8,1,31.0,8,1,22.0,8,1
1960/6/29,27.0,8,1,31.5,8,1,23.5,8,1
1960/6/30,26.8,8,1,30.8,8,1,23.8,8,1
1960/7/1,27.0,8,1,30.7,8,1,24.1,8,1
1960/7/2,25.0,8,1,28.6,8,1,23.6,8,1
1960/7/3,25.9,8,1,30.5,8,1,20.7,8,1
1960/7/4,26.8,8,1,31.3,8,1,22.6,8,1
1960/7/5,23.8,8,1,28.5,8,1,23.7,8,1
1960/7/6,22.8,8,1,26.9,8,1,19.9,8,1
1960/7/7,22.2,8,1,25.2,8,1,19.9,8,1
1960/7/8,21.4,8,1,23.6,8,1,20.2,8,1
1960/7/9,24.8,8,1,30.1,8,1,20.9,8,1
1960/7/10,26.5,8,1,31.0,8,1,22.6,8,1
1960/7/11,25.2,8,1,30.9,8,1,20.4,8,1
1960/7/12,24.5,8,1,27.6,8,1,22.2,8,1
1960/7/13,23.4,8,1,26.1,8,1,21.8,8,1
1960/7/14,25.7,8,1,29.3,8,1,20.4,8,1
1960/7/15,27.0,8,1,33.7,8,1,23.5,8,1
1960/7/16,24.8,8,1,28.7,8,1,22.3,8,1
1960/7/17,24.8,8,1,29.2,8,1,22.3,8,1
1960/7/18,25.4,8,1,29.8,8,1,20.9,8,1
1960/7/19,26.7,8,1,31.5,8,1,21.5,8,1
1960/7/20,27.8,8,1,32.6,8,1,22.7,8,1
1960/7/21,27.6,8,1,32.5,8,1,23.4,8,1
1960/7/22,28.3,8,1,32.6,8,1,25.1,8,1
1960/7/23,27.5,8,1,31.6,8,1,24.2,8,1
1960/7/24,27.6,8,1,31.3,8,1,23.9,8,1
1960/7/25,26.9,8,1,30.8,8,1,25.8,8,1
1960/7/26,26.6,8,1,30.1,8,1,23.7,8,1
1960/7/27,27.9,8,1,31.8,8,1,24.2,8,1
1960/7/28,27.9,8,1,32.6,8,1,25.4,8,1
1960/7/29,25.0,8,1,27.6,8,1,24.3,8,1
1960/7/30,25.2,8,1,28.7,8,1,22.1,8,1
1960/7/31,26.8,8,1,29.9,8,1,23.5,8,1
1960/8/1,29.5,8,1,34.7,8,1,24.8,8,1
1960/8/2,28.3,8,1,33.5,8,1,26.0,8,1
1960/8/3,28.3,8,1,32.9,8,1,23.8,8,1
1960/8/4,29.0,8,1,32.5,8,1,26.0,8,1
1960/8/5,29.0,8,1,32.3,8,1,25.7,8,1
1960/8/6,28.6,8,1,32.6,8,1,25.5,8,1
1960/8/7,28.5,8,1,32.2,8,1,24.7,8,1
1960/8/8,28.2,8,1,32.9,8,1,24.1,8,1
1960/8/9,28.5,8,1,33.2,8,1,23.5,8,1
1960/8/10,28.9,8,1,32.5,8,1,26.3,8,1
1960/8/11,28.0,8,1,30.7,8,1,26.1,8,1
1960/8/12,28.7,8,1,32.9,8,1,25.8,8,1
1960/8/13,26.7,8,1,29.0,8,1,26.3,8,1
1960/8/14,21.4,8,1,25.6,8,1,22.3,8,1
1960/8/15,22.7,8,1,28.2,8,1,18.2,8,1
1960/8/16,23.5,8,1,28.7,8,1,19.1,8,1
1960/8/17,23.8,8,1,29.2,8,1,19.4,8,1
1960/8/18,23.7,8,1,28.1,8,1,19.6,8,1
1960/8/19,21.9,8,1,23.7,8,1,19.6,8,1
1960/8/20,23.1,8,1,24.7,8,1,20.7,8,1
1960/8/21,27.1,8,1,32.9,8,1,22.4,8,1
1960/8/22,25.3,8,1,29.0,8,1,23.7,8,1
1960/8/23,23.8,8,1,26.7,8,1,22.3,8,1
1960/8/24,23.3,8,1,27.1,8,1,21.7,8,1
1960/8/25,24.1,8,1,27.7,8,1,21.0,8,1
1960/8/26,26.7,8,1,31.3,8,1,21.8,8,1
1960/8/27,26.9,8,1,31.7,8,1,22.4,8,1
